countryCode;adminCode1;cityName;lat;lng
AR;8;Concepcion del Uruguay;-32.48249;-58.23722
AR;7;Colegiales;-34.57365;-58.44924
AR;8;Chajari;-30.75048;-57.97962
AR;1;Campana;-34.16874;-58.95914
AR;7;Buenos Aires;-34.61315;-58.37723
AR;7;Boedo;-34.63333;-58.41667
AR;1;Berazategui;-34.76531;-58.21278
AR;7;Belgrano;-34.5627;-58.45829
AR;3;Barranqueras;-27.48132;-58.93925
AR;7;Barracas;-34.64966;-58.38341
AR;1;Azul;-36.77698;-59.85854
AR;21;Avellaneda;-29.11761;-59.65834
AR;14;Aristobulo del Valle;-27.09625;-54.89626
AR;15;Zapala;-38.89916;-70.05442
AR;24;Yerba Buena;-26.81667;-65.31667
AR;16;Villa Regina;-39.1;-67.06667
AR;18;Villa Paula de Sarmiento;-31.4933;-68.53838
AR;5;Villa Nueva;-32.43293;-63.24763
AR;5;Villa Maria;-32.40751;-63.24016
AR;5;Villa Dolores;-31.94585;-65.18958
AR;21;Villa Constitucion;-33.22778;-60.3297
AR;5;Villa Carlos Paz;-31.42414;-64.49778
AR;3;Villa Angela;-27.57383;-60.71526
AR;5;Villa Allende;-31.29458;-64.29538
AR;16;Viedma;-40.81345;-62.99668
AR;8;Victoria;-32.61841;-60.15478
AR;21;Vera;-29.4593;-60.21261
AR;21;Venado Tuerto;-33.74556;-61.96885
AR;1;Veinticinco de Mayo;-35.4323;-60.17271
AR;23;Ushuaia;-54.8;-68.3
AR;5;Unquillo;-31.23073;-64.31615
AR;3;Tres Isletas;-26.34067;-60.43207
AR;1;Tres Arroyos;-38.37394;-60.27978
AR;4;Trelew;-43.24895;-65.30505
AR;22;Termas de Rio Hondo;-27.49362;-64.85972
AR;17;Tartagal;-22.51637;-63.80131
AR;24;Tafi Viejo;-26.73201;-65.25921
AR;21;Sunchales;-30.94404;-61.56148
AR;21;Santo Tome;-31.66274;-60.7653
AR;22;Santiago del Estero;-27.79511;-64.26149
AR;11;Santa Rosa;-36.61667;-64.28333
AR;18;Santa Lucia;-31.53987;-68.49503
AR;21;Santa Fe de la Vera Cruz;-31.63333;-60.7
AR;10;San Salvador de Jujuy;-24.19457;-65.29712
AR;17;San Ramon de la Nueva Oran;-23.13705;-64.32426
AR;13;San Rafael;-34.61772;-68.33007
AR;10;San Pedro;-24.23127;-64.86614
AR;1;San Nicolas de los Arroyos;-33.33425;-60.2108
AR;24;San Miguel de Tucuman;-26.82414;-65.2226
AR;15;San Martin de los Andes;-40.15789;-71.35337
AR;13;San Martin;-33.08103;-68.46814
AR;19;San Luis;-33.29501;-66.33563
AR;21;San Justo;-30.78913;-60.59189
AR;18;San Juan;-31.5375;-68.53639
AR;18;San Jose de Jachal;-30.24057;-68.74693
AR;21;San Jorge;-31.89618;-61.85984
AR;5;San Francisco;-31.42797;-62.08266
AR;2;San Fernando del Valle de Catamarca;-28.46957;-65.78524
AR;16;San Antonio Oeste;-40.73193;-64.94769
AR;17;Salta;-24.7859;-65.41166
AR;21;Rufino;-34.26827;-62.71262
AR;21;Rosario;-32.94682;-60.63932
AR;5;Rio Tercero;-32.17301;-64.11405
AR;5;Rio Segundo;-31.6526;-63.9099
AR;23;Rio Grande;-53.78769;-67.70946
AR;20;Rio Gallegos;-51.62261;-69.21813
AR;5;Rio Cuarto;-33.13067;-64.34992
AR;5;Rio Ceballos;-31.16486;-64.32241
AR;4;Rawson;-43.30016;-65.10228
AR;21;Rafaela;-31.25033;-61.4867
AR;3;Quitilipi;-26.86913;-60.21683
AR;1;Punta Alta;-38.87588;-62.07359
AR;4;Puerto Madryn;-42.7692;-65.03851
AR;3;Presidencia Roque Saenz Pena;-26.78522;-60.43876
AR;18;Pocito;-31.68333;-68.58333
AR;15;Plottier;-38.96667;-68.23333
AR;1;Pergamino;-33.88995;-60.57357
AR;21;Perez;-32.99835;-60.76791
AR;8;Parana;-31.73197;-60.5238
AR;10;Palpala;-24.25647;-65.21163
AR;1;Olavarria;-36.89272;-60.32254
AR;1;Nueve de Julio;-35.44437;-60.88313
AR;15;Neuquen;-38.95161;-68.0591
AR;5;Morteros;-30.71164;-61.99862
AR;24;Monteros;-27.16741;-65.49832
AR;13;Mendoza;-32.89084;-68.82717
AR;5;Marcos Juarez;-32.6978;-62.10672
AR;3;Machagai;-26.92614;-60.04955
AR;1;Lincoln;-34.86649;-61.5302
AR;10;Libertador General San Martin;-23.80644;-64.78757
AR;3;Las Brenas;-27.08966;-61.08161
AR;12;La Rioja;-29.41105;-66.85067
AR;5;La Falda;-31.08841;-64.48987
AR;5;La Calera;-31.34377;-64.33529
AR;5;Laboulaye;-34.12662;-63.39119
AR;1;Junin;-34.58382;-60.94332
AR;17;Joaquin V. Gonzalez;-25.08333;-64.18333
AR;5;Jesus Maria;-30.98153;-64.09424
AR;21;Granadero Baigorria;-32.85683;-60.71754
AR;21;Gobernador Galvez;-33.03016;-60.64045
AR;1;General Villegas;-35.03285;-63.01252
AR;16;General Roca;-39.03333;-67.58333
AR;3;General Pinedo;-27.31667;-61.28333
AR;11;General Pico;-35.65662;-63.75682
AR;17;General Enrique Mosconi;-22.59588;-63.81255
AR;21;Galvez;-32.02927;-61.22103
AR;21;Firmat;-33.45937;-61.4832
AR;24;Famailla;-27.05413;-65.40329
AR;4;Esquel;-42.91147;-71.31947
AR;21;Esperanza;-31.4488;-60.93173
AR;17;Embarcacion;-23.21003;-64.09965
AR;5;Embalse;-32.18;-64.41809
AR;16;El Bolson;-41.96051;-71.53336
AR;8;Diamante;-32.06641;-60.63837
AR;5;Dean Funes;-30.42036;-64.34984
AR;15;Cutral-Co;-38.93424;-69.23052
AR;5;Cruz del Eje;-30.72644;-64.80387
AR;8;Crespo;-32.02873;-60.30658
AR;5;Cosquin;-31.24508;-64.46563
AR;1;Coronel Suarez;-37.45467;-61.93343
AR;21;Coronda;-31.97263;-60.91983
AR;5;Cordoba;-31.4135;-64.18105
AR;4;Comodoro Rivadavia;-45.86413;-67.49656
AR;16;Cipolletti;-38.93392;-67.99032
AR;16;Cinco Saltos;-38.82225;-68.06293
AR;1;Chivilcoy;-34.89566;-60.01667
AR;18;Chimbas;-31.48333;-68.53333
AR;12;Chilecito;-29.16195;-67.4974
AR;3;Charata;-27.21438;-61.18795
AR;1;Chacabuco;-34.64167;-60.47389
AR;15;Centenario;-38.82955;-68.1318
AR;18;Caucete;-31.65179;-68.28105
AR;16;Catriel;-37.87907;-67.7956
AR;3;Castelli;-25.94679;-60.61947
AR;21;Casilda;-33.04417;-61.16806
AR;21;Carcarana;-32.85679;-61.15331
AR;21;Capitan Bermudez;-32.82262;-60.71852
AR;21;Canada de Gomez;-32.81636;-61.39493
AR;20;Caleta Olivia;-46.43929;-67.52814
AR;5;Bell Ville;-32.62591;-62.68873
AR;24;Bella Vista;-27.03424;-65.30196
AR;1;Bahia Blanca;-38.71959;-62.27243
AR;21;Arroyo Seco;-33.15489;-60.50863
AR;5;Arroyito;-31.42022;-63.05002
AR;22;Anatuya;-28.46064;-62.83472
AR;5;Alta Gracia;-31.65292;-64.42826
AR;16;Allen;-38.97736;-67.82714
AR;24;Alderetes;-26.81667;-65.13333
AR;18;Albardon;-31.43722;-68.52556
AR;24;Aguilares;-27.4338;-65.61427
AR;7;Balvanera;-34.61032;-58.39766
AR;7;Villa Santa Rita;-34.61082;-58.481
AR;19;Villa Mercedes;-33.67571;-65.45783
AR;16;San Carlos de Bariloche;-41.14557;-71.30822
AR;1;Adrogue;-34.80041;-58.38384
AS;10;Pago Pago;-14.27806;-170.7025
AT;2;Wolfsberg;46.84056;14.84417
AT;3;Wiener Neustadt;47.80485;16.23196
AT;9;Vienna;48.20849;16.37208
AT;4;Wels;48.16667;14.03333
AT;3;Weinzierl bei Krems;48.4;15.6
AT;2;Villach;46.61028;13.85583
AT;4;Traun;48.22656;14.23459
AT;3;Traiskirchen;48.01485;16.29324
AT;3;Ternitz;47.71565;16.03575
AT;4;Steyr;48.04274;14.42127
AT;2;Spittal an der Drau;46.8;13.5
AT;3;Schwechat;48.13333;16.46667
AT;3;Sankt Poelten;48.2;15.63333
AT;2;Sankt Peter;46.62978;14.34016
AT;2;Sankt Martin;46.61667;14.28333
AT;5;Salzburg;47.79941;13.04399
AT;5;Saalfelden am Steinernen Meer;47.42681;12.848
AT;3;Modling;48.08605;16.28921
AT;8;Lustenau;47.42642;9.65851
AT;4;Linz;48.30639;14.28611
AT;4;Leonding;48.27965;14.2533
AT;6;Leoben;47.3765;15.09144
AT;7;Kufstein;47.58333;12.16667
AT;3;Krems an der Donau;48.40921;15.61415
AT;3;Klosterneuburg;48.30521;16.32522
AT;2;Klagenfurt am Woerthersee;46.62472;14.30528
AT;6;Kapfenberg;47.44458;15.29331
AT;7;Innsbruck;47.26266;11.39454
AT;5;Hallein;47.68333;13.1
AT;6;Graz;47.06667;15.45
AT;8;Feldkirch;47.23306;9.6
AT;8;Dornbirn;47.41427;9.74195
AT;8;Bregenz;47.50311;9.7471
AT;4;Braunau am Inn;48.25628;13.04343
AT;3;Baden;48.00543;16.23264
AT;3;Amstetten;48.1229;14.87206
